Date,Close,Open,High,Low,Volume
2019-08-07,9951.00,10156.90,10202.70,9928.10,15650000
2019-08-08,10660.20,10134.00,10660.20,10134.00,23430000
2019-08-10,10019.70,9790.90,10019.70,9722.30,8380000
2019-08-11,10385.70,10385.70,10431.40,10294.20,11120000
2019-08-13,10728.80,10660.20,10934.70,10660.20,13520000
2019-08-14,10728.80,10888.90,10888.90,10705.90,8150000
2019-08-15,10637.30,10522.90,10637.30,10431.40,14490000
2019-08-16,10545.80,10637.30,10683.10,10477.20,18650000
2019-08-19,10545.80,10522.90,10660.20,10500.00,5350000
2019-08-20,10477.20,10545.80,10660.20,10408.50,10090000
2019-08-21,10614.40,10477.20,10637.30,10431.40,10150000
2019-08-22,10545.80,10660.20,10683.10,10522.90,6980000
2019-08-23,10705.90,10637.30,10728.80,10568.70,11340000
2019-08-26,10431.40,10568.70,10591.60,10385.70,11960000
2019-08-27,10248.40,10522.90,10545.80,10248.40,18940000
2019-08-28,10179.80,10248.40,10294.20,10111.20,9130000
2019-08-29,10134.00,10179.80,10179.80,10065.40,10410000
2019-08-30,10156.90,10134.00,10271.30,10088.30,7010000
2019-09-01,10382.20,10206.20,10487.70,10206.20,5140000
2019-09-04,11297.20,11420.40,11438.00,11262.00,790000
2019-09-05,11578.70,11631.50,11701.90,11473.20,5780000
2019-09-07,9768.00,9973.90,10042.50,9768.00,1330000
2019-09-08,10568.70,10705.90,10751.70,10522.90,7760000
2019-09-09,9699.40,9836.60,9859.50,9699.40,7480000
2019-09-10,10019.70,10019.70,10019.70,9928.10,6490000
2019-09-12,11071.90,10911.80,11186.30,10911.80,16640000
2019-09-13,10339.90,10294.20,10362.80,10248.40,9820000
2019-09-16,10362.80,10271.30,10362.80,10179.80,11370000
2019-09-17,10385.70,10362.80,10385.70,10248.40,7580000
2019-09-18,10522.90,10385.70,10545.80,10339.90,12950000
2019-09-19,10500.00,10522.90,10545.80,10385.70,7180000
2019-09-20,10362.80,10500.00,10500.00,10317.00,10740000
2019-09-23,10065.40,10339.90,10339.90,10065.40,11280000
2019-09-24,10134.00,10042.50,10134.00,9996.80,4180000
2019-09-25,10019.70,10111.20,10111.20,9951.00,8340000
2019-09-26,10179.80,10065.40,10179.80,9928.10,7020000
2019-09-27,10134.00,10179.80,10271.30,10134.00,6720000
2019-09-30,10042.50,10156.90,10179.80,10042.50,7210000
2019-10-01,10487.70,10417.30,10593.30,10382.20,4880000
2019-10-04,11244.40,11262.00,11279.60,11138.80,6040000
2019-10-05,11561.10,11649.10,11684.30,11473.20,5230000
2019-10-06,10477.20,10637.30,10705.90,10454.30,13830000
2019-10-07,9768.00,9790.90,9951.00,9745.10,7890000
2019-10-09,9745.10,9699.40,9768.00,9653.60,7270000
2019-10-10,9836.60,10019.70,10111.20,9836.60,8290000
2019-10-12,11163.40,11071.90,11232.10,11026.20,2140000
2019-10-14,9813.80,9928.10,9928.10,9813.80,6230000
2019-10-15,9768.00,9836.60,9928.10,9768.00,7610000
2019-10-16,9745.10,9790.90,9836.60,9745.10,5520000
2019-10-17,9790.90,9745.10,9905.30,9745.10,10170000
2019-10-18,9790.90,9859.50,9859.50,9745.10,4820000
2019-10-21,9699.40,9790.90,9813.80,9699.40,6680000
2019-10-22,9882.40,9699.40,9905.30,9699.40,8630000
2019-10-23,9996.80,9882.40,10111.20,9882.40,14520000
2019-10-24,10065.40,10019.70,10111.20,9996.80,10830000
2019-10-25,9973.90,10065.40,10065.40,9951.00,5010000
2019-10-28,10156.90,9973.90,10202.70,9905.30,15330000
2019-10-29,10156.90,10156.90,10271.30,10111.20,11250000
2019-10-30,10065.40,10179.80,10179.80,10065.40,6460000
2019-10-31,9973.90,10065.40,10088.30,9928.10,12150000
2019-11-01,10329.40,10487.70,10522.90,10329.40,7280000
2019-11-02,10171.00,9766.30,10171.00,9713.50,7770000
2019-11-03,11895.50,12036.30,12036.30,11825.10,1330000
2019-11-04,11244.40,11262.00,11279.60,11209.20,4150000
2019-11-06,10522.90,10522.90,10614.40,10385.70,9290000
2019-11-07,9859.50,9790.90,9905.30,9790.90,6540000
2019-11-09,10088.30,9745.10,10088.30,9722.30,990000
2019-11-10,9836.60,9882.40,9928.10,9790.90,8740000
2019-11-11,10431.40,10339.90,10568.70,10339.90,16850000
2019-11-12,11163.40,11117.70,11163.40,10934.70,11380000
2019-11-13,10362.80,10568.70,10591.60,10362.80,13720000
2019-11-14,10362.80,10362.80,10454.30,10294.20,11640000
2019-11-15,10362.80,10362.80,10431.40,10317.00,7230000
2019-11-18,10477.20,10385.70,10522.90,10385.70,8080000
2019-11-19,10431.40,10500.00,10500.00,10385.70,8780000
2019-11-20,10248.40,10431.40,10431.40,10179.80,14660000
2019-11-21,10065.40,10202.70,10225.50,10065.40,1580000
2019-11-22,10111.20,10156.90,10225.50,10065.40,12140000
2019-11-25,10179.80,10134.00,10225.50,10065.40,8920000
2019-11-26,10362.80,10225.50,10431.40,10225.50,11560000
2019-11-27,10339.90,10408.50,10431.40,10317.00,7420000
2019-11-28,10339.90,10339.90,10385.70,10271.30,7910000
2019-11-29,10454.30,10339.90,10500.00,10271.30,13350000
2019-12-02,10382.20,10171.00,10505.30,10118.20,21770000
2019-12-03,11913.10,12001.10,12018.70,11860.30,14410000
2019-12-04,11279.60,11244.40,11279.60,11209.20,4320000
2019-12-06,10568.70,10477.20,10637.30,10454.30,660000
